"filename", "language", "Markdown", "JavaScript", "JSON", "PostCSS", "JavaScript JSX", "HTML", "comment", "blank", "total"
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\components\BoothApplicationForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 300, 0, 11, 23, 334
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\components\BoothList.jsx", "JavaScript JSX", 0, 0, 0, 0, 311, 0, 0, 15, 326
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\components\CampusMapSelector.jsx", "JavaScript JSX", 0, 0, 0, 0, 123, 0, 3, 12, 138
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\components\ConferenceForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 315, 0, 0, 19, 334
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\components\GymSessionForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 154, 0, 3, 19, 176
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\components\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 443, 0, 19, 25, 487
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\components\PlatformBoothMapSelector.jsx", "JavaScript JSX", 0, 0, 0, 0, 126, 0, 2, 11, 139
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\components\PlatformMapSelector.jsx", "JavaScript JSX", 0, 0, 0, 0, 427, 0, 29, 35, 491
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\components\ProfessorDashboardOverview.jsx", "JavaScript JSX", 0, 0, 0, 0, 158, 0, 4, 21, 183
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\components\StandaloneBoothsBrowser.jsx", "JavaScript JSX", 0, 0, 0, 0, 276, 0, 4, 22, 302
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\components\StudentDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 601, 0, 13, 30, 644
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\components\StudentRegistrationForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 437, 0, 4, 20, 461
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\components\TripForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 238, 0, 0, 16, 254
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\components\WorkshopEditRequestModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 93, 0, 3, 16, 112
